,ARREST_YEAR,zip,LAW_CAT_CD,count
264,2023,11377,M,54
265,2023,11377,V,1
266,2023,11378,F,26
267,2023,11378,M,26
268,2023,11379,F,31
269,2023,11379,M,35
270,2023,11385,F,42
271,2023,11385,M,68
272,2023,11411,F,33
273,2023,11411,I,1
274,2023,11411,M,49
275,2023,11412,F,68
276,2023,11412,M,87
277,2023,11413,F,91
278,2023,11413,M,117
279,2023,11414,F,29
280,2023,11414,M,39
281,2023,11415,F,11
282,2023,11415,M,17
283,2023,11416,F,13
284,2023,11416,M,13
285,2023,11417,F,34
286,2023,11417,M,47
287,2023,11418,F,5
288,2023,11418,M,12
289,2023,11419,F,122
290,2023,11419,I,2
291,2023,11419,M,119
292,2023,11419,V,1
293,2023,11420,F,111
294,2023,11420,M,121
295,2023,11420,V,1
296,2023,11421,F,38
297,2023,11421,I,1
298,2023,11421,M,59
299,2023,11422,F,45
300,2023,11422,M,50
301,2023,11423,9,1
302,2023,11423,F,23
303,2023,11423,M,28
304,2023,11425,F,1
305,2023,11426,F,31
306,2023,11426,M,38
307,2023,11426,V,1
308,2023,11427,F,27
309,2023,11427,M,27
310,2023,11428,F,8
311,2023,11428,M,17
312,2023,11429,F,46
313,2023,11429,M,41
314,2023,11430,F,21
315,2023,11430,M,10
316,2023,11432,F,6
317,2023,11432,M,20
318,2023,11433,F,46
319,2023,11433,M,144
320,2023,11434,9,2
321,2023,11434,F,206
322,2023,11434,I,3
323,2023,11434,M,342
324,2023,11435,F,60
325,2023,11435,M,90
326,2023,11435,V,1
327,2023,11436,F,18
328,2023,11436,M,21
329,2023,11559,M,1
330,2023,11691,F,54
331,2023,11691,M,44
332,2023,11692,F,18
333,2023,11692,M,28
334,2023,11693,F,7
335,2023,11693,M,11
336,2023,11693,V,1
337,2023,11694,F,20
338,2023,11694,M,19
339,2023,11697,F,1
340,2023,11697,M,1
