,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,cluster,zip
36,2.6774502595698024,3.9947342470159932,-3.3376909426367867,1.6193050249447551,-0.8910246701642934,0.17852258234570123,-1.691956072503154,1.1696966428760671,0.7390184337365405,-0.3945126690645352,-1.0880571324276136,-1.1896116847656557,0.8814141549364688,-1.7104294174792098,-0.6160333708736156,2,10036
37,-0.9104600211749342,-0.3606515690743483,0.13660627050385585,-0.6235881684696907,-0.4946688755918615,0.04831825053490665,0.05911156909827404,0.1719896902192988,-0.11601274323031975,0.16632757832776532,-0.8177541861828592,0.03046423020569667,-0.3671021881439576,-0.24786623459800475,0.31111565463710583,0,10037
38,1.737267933556933,2.3996610882132132,0.6751447448887519,-0.5160515780138292,-0.7160849751384478,-0.616859541544261,-0.30009031429458377,-0.5733256054473537,0.6749066760087247,0.6206756261849065,-1.2927445570865437,-1.1261798970586894,0.5088831938653553,0.08253698807573726,0.4971093369598465,2,10038
39,-0.5366003157901474,-0.17418706479052723,-0.17235645382866727,-0.12251987083971029,-0.2823608832229009,0.49118766148265036,-0.2676594338790047,-0.597163381015495,-0.5201355971335064,0.0031235996730324335,0.7054043342249889,-0.04775281201130842,-0.06378879668006662,0.6300297987383786,-0.034263186593052004,0,10039
40,-1.211747248545093,0.03175203759474874,-0.13307019247338425,-0.011600021225331485,-0.7929660695812465,-0.3795010459384757,0.5684701296611087,-0.07894209983901655,0.49202731407114897,-0.03401154778555086,-0.6482379462210689,0.39301743421453555,0.3624822407146868,-0.14685869152790923,0.410095296462836,0,10040
41,-3.0771022399602463,0.2724667716238758,0.2655498850977891,-0.1267017167676158,-0.4404745870968061,-0.02932216068325695,-0.04370428253320518,0.05157499009497666,-0.05293593210268753,0.020468683636795132,-0.12337296458637026,0.11337975098271133,0.051306925690434074,0.028751352058574556,0.11568030338353498,0,10041
42,-1.5863990511500798,0.6728215633747863,-0.6033976252590202,0.2704558782183026,1.3336509595445152,0.20415377260631656,0.4038088138759789,-0.05596286087725055,0.06858723112000177,0.49682409856531756,-0.29759436213149226,0.20138924433059238,0.36891300335213006,0.3691421087993445,-0.13250641514440542,0,10044
43,-3.118142433857143,0.278044760061996,0.34273143862998773,-0.10503990970697455,-0.3974577794207149,-0.008745918067730797,-0.02441053229865174,0.020601784670242634,0.013808620640055842,-0.00178332401463853,-0.15232501337669202,0.07375799956896614,-0.044554466487816156,0.08613256315907894,-0.054182798282505495,0,10048
44,-3.1454353802398676,0.25425466162916543,0.28778768269923005,-0.10762886266463095,-0.4250372293154536,-0.005181194251501888,-0.008811899669768737,0.05230320062758923,-0.026576756926765602,0.006746609527558414,-0.12080059163323326,0.08966721260122307,0.012483325891934727,0.04218582341519064,-0.009982496569438892,0,10055
45,1.5307329285321165,2.259905009625272,-2.3335440119961737,0.3273744736886626,-0.1493585875245406,0.3232578260202984,-1.0838874145048025,-1.1636778515006199,-1.0119208180293444,1.2161862448505365,0.4403228145121125,0.7502886330677551,1.3642756471247905,0.8464878934119447,0.8498128240778494,2,10065
46,-2.772060920254988,0.3698303098704889,0.04327777908706187,-0.04485522480523596,-0.2827260227493435,0.13689665193108114,0.37395256326551923,-0.10780666664160732,-0.12329227626649217,-0.32894806236373514,0.044404796742044776,0.15165981707085605,0.015325724845293254,0.07306661901763009,0.4711918451104637,0,10069
47,-0.8185423250599697,1.1570561753595352,-1.3492860194082759,0.046266433330200064,0.14709522153629986,0.2989196329779467,0.3790850812349416,-0.6267796938767098,-1.0550032614282563,0.41475611008708874,0.7031306552541138,-0.7630034986552278,1.243917202218272,0.7093372690226892,0.13738678674395538,0,10075
48,-3.1570682359411224,0.2720137936179862,0.2785811148267774,-0.09017831234875645,-0.4305817194845134,-0.01855074589193796,-0.005627065722614606,0.0641616889403456,0.0150549658436289,0.01670968211910895,-0.11321968733444526,0.10380252329732281,-0.02273486482315162,0.04647301671165055,-0.029929734728195767,0,10088
49,-3.124667865879983,0.3277985239776922,0.236128517027985,-0.0458727759892376,-0.4432589525527577,-0.007614862832752769,-0.009292156681897408,0.08803077322004343,0.06123151483721732,0.024715129340793673,-0.1368182572924424,0.12007529810337607,-0.03855901243657869,0.0030604178892451738,-0.06713878169035196,0,10101
50,-2.9296221243591343,0.2534678352956775,0.07311026278936686,-0.1468146400834491,-0.2639697108026469,-0.039815431135983244,0.08912738791449556,-0.028090339752740015,-0.25347118386178613,0.14266218077449194,0.3062968185923607,-0.2493152953814083,0.2143183657597129,0.2685602310811652,-0.17439618260540804,0,10103
51,-3.1154767886734476,0.251565441077565,0.2792053004345141,-0.115901199229208,-0.42632335310966885,-0.0015216709513868457,-0.008093026269127513,0.04848658972389767,-0.04334514881803851,-0.002672377444594504,-0.11869898433840942,0.09068463805322877,0.02658065591377973,0.03848057578065329,0.01095115460291151,0,10105
52,-3.1339188678549084,0.26509304761654245,0.2803537520139755,-0.10189604760417786,-0.425003469827658,0.001536018617383271,-0.014848082462329671,0.04841257420085791,-0.03818987130858044,-0.008190450296969106,-0.11822357779793286,0.08961654163887317,0.030484335253661402,0.03935365575233723,0.014465089465964413,0,10106
53,-3.1570682359411224,0.2720137936179862,0.2785811148267774,-0.09017831234875645,-0.4305817194845134,-0.01855074589193796,-0.005627065722614606,0.0641616889403456,0.0150549658436289,0.01670968211910895,-0.11321968733444526,0.10380252329732281,-0.02273486482315162,0.04647301671165055,-0.029929734728195767,0,10107
54,-3.0382668790502776,0.47655780493690814,0.1229215895645387,0.07227532096947929,-0.47706490740140906,0.021547491991741052,-0.019065732573317992,0.15168166463257085,0.18436897882011968,0.046062988598619625,-0.1997477771804349,0.16346936425285133,-0.08075673940571769,-0.11270651230383576,-0.1663629069227686,0,10108
55,-3.1570682359411224,0.2720137936179862,0.2785811148267774,-0.09017831234875645,-0.4305817194845134,-0.01855074589193796,-0.005627065722614606,0.0641616889403456,0.0150549658436289,0.01670968211910895,-0.11321968733444526,0.10380252329732281,-0.02273486482315162,0.04647301671165055,-0.029929734728195767,0,10111
56,-3.0922674958188434,0.38358325433739815,0.1936759192291926,-0.0015672396297187665,-0.4559361856210019,0.00332102022643241,-0.012957247641180098,0.11189985749974124,0.10740806383080573,0.0327205765624784,-0.1604168272504397,0.13634807290942932,-0.05438316005000583,-0.040352180933160176,-0.10434782865250819,0,10113
57,-2.9709528508038328,0.577663032577844,0.15099515908566855,-0.11328516165309184,-0.42789763322139274,-0.13005429543521488,-0.10457360078514699,0.07837954355426505,-0.011083039084705426,0.3154820481739314,-0.19226674882030356,0.2941759985234036,0.025540978609973994,0.39073282832582795,-0.11085649434534282,0,10115
58,-3.1462681125874092,0.2906087037378883,0.26443024889384664,-0.07540980022891684,-0.4348074638405949,-0.014905451538876192,-0.0068487627090422065,0.07211805036691152,0.030447148841491724,0.01937816452633717,-0.12108587732044429,0.10922678156600724,-0.02800958069429396,0.03200215043751543,-0.04233275038224782,0,10116
59,-3.0695976736811734,0.42934073284934293,0.22082092884469953,-0.13512185697145956,-0.4634010136319052,-0.2684536198246419,-0.1044547497853307,0.34981048727313174,0.06797463490761041,-0.17569845525155162,0.0008424390454419823,-0.09381616814291847,-0.2128840692227246,0.032196519648701925,0.07221879938358548,0,10118
60,-3.0610875184004094,0.41529216528101226,0.2035063118588513,-0.09235651547397883,-0.44785661506479035,-0.1445350446405661,-0.08805800712641032,0.24065602505961373,0.011079974037057107,-0.156032861539143,-0.04194043923970587,-0.03633215800787183,-0.08343214363430021,0.0033028633551297694,0.08195276957294977,0,10119
61,-3.1454353802398676,0.25425466162916543,0.28778768269923005,-0.10762886266463095,-0.4250372293154536,-0.005181194251501888,-0.008811899669768737,0.05230320062758923,-0.026576756926765602,0.006746609527558414,-0.12080059163323326,0.08966721260122307,0.012483325891934727,0.04218582341519064,-0.009982496569438892,0,10121
62,-3.126868158934654,0.26970401896462376,0.2736678240061562,-0.11053730183135044,-0.44091830398914245,-0.04360100733828815,-0.020840410574824317,0.06886371715424563,0.012966334902100786,0.04577381129130342,-0.11837062108360374,0.11967844350144811,-0.020853810773120925,0.04129292602437774,0.021248683859915858,0,10122
63,2.166804235772144,1.1491239281281207,-2.534410892008393,0.5811942794453859,0.8159838097663951,1.8734113602030735,3.1822543094158453,-1.4019979798417752,-0.45312297104162697,-1.4373136852543835,-1.2283034363881156,0.5456800188431759,-0.3962796947968657,-0.036805456633018645,1.881441940666266,2,10128
64,-3.124667865879983,0.3277985239776922,0.236128517027985,-0.0458727759892376,-0.4432589525527577,-0.007614862832752769,-0.009292156681897408,0.08803077322004343,0.06123151483721732,0.024715129340793673,-0.1368182572924424,0.12007529810337607,-0.03855901243657869,0.0030604178892451738,-0.06713878169035196,0,10150
65,-3.124781527992125,0.3099637127181391,0.24322303723442731,-0.06862653023894642,-0.4309953537579506,-0.0008911755479107511,-0.014854862053696972,0.020376389967055247,0.01763561653191021,0.033583033553806124,-0.1295645652960251,0.08895743994231536,0.004373016497794399,0.05896988027767931,-0.02050315368086371,0,10152
66,-3.1037594918121774,0.24759594424337997,0.27236631940884426,-0.08359513669679944,-0.40865524224951444,0.01931245213748023,-0.033648317819176675,0.04697075319530939,-0.036984866167146566,-0.042115755286072004,-0.16556802017218292,0.10019050899868423,0.0141450425772621,0.04151205252986453,-0.009028371136353477,0,10153
67,-3.1224023554699487,0.2759314336039195,0.27291982132872095,-0.09616323254372477,-0.4249697103398625,0.00825323148626836,-0.020884265254890594,0.04452194777412658,-0.049802985690395304,-0.02312751012149658,-0.11564656396263251,0.0895658706765233,0.04848534461538803,0.036521488089483814,0.03891267550136766,0,10154
68,-3.1224023554699487,0.2759314336039195,0.27291982132872095,-0.09616323254372477,-0.4249697103398625,0.00825323148626836,-0.020884265254890594,0.04452194777412658,-0.049802985690395304,-0.02312751012149658,-0.11564656396263251,0.0895658706765233,0.04848534461538803,0.036521488089483814,0.03891267550136766,0,10155
69,-3.1570682359411224,0.2720137936179862,0.2785811148267774,-0.09017831234875645,-0.4305817194845134,-0.01855074589193796,-0.005627065722614606,0.0641616889403456,0.0150549658436289,0.01670968211910895,-0.11321968733444526,0.10380252329732281,-0.02273486482315162,0.04647301671165055,-0.029929734728195767,0,10156
