,ADULT SERVICES,CAMPS,CHILD SERVICES AND WELFARE,"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",CULTURAL INSTITUTIONS,DAY CARE AND PRE-KINDERGARTEN,EMERGENCY SERVICES,HEALTH CARE,HIGHER EDUCATION,HISTORICAL SITES,HUMAN SERVICES,JUSTICE AND CORRECTIONS,LIBRARIES,MATERIAL SUPPLIES AND MARKETS,"OFFICES, TRAINING, AND TESTING",OTHER PROPERTY,PARKS AND PLAZAS,PUBLIC SAFETY,SCHOOLS (K-12),SOLID WASTE,TELECOMMUNICATIONS,TRANSPORTATION,VOCATIONAL AND PROPRIETARY SCHOOLS,WATER AND WASTEWATER,YOUTH SERVICES,zip,revised_market_value,Cluster
24,1.0,4.0,26.0,3.0,46.0,41.0,1.0,78.0,7.0,26.0,55.0,0.0,3.0,0.0,11.0,0.0,25.0,2.0,42.0,18.0,0.0,22.0,2.0,1.0,76.0,10027.0,15462675.533333333,0
25,0.0,4.0,2.0,0.0,8.0,21.0,1.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,7.0,0.0,61.0,0.0,0.0,0.0,10028.0,2362416.245421245,3
26,2.0,2.0,35.0,5.0,23.0,62.0,4.0,63.0,1.0,6.0,43.0,0.0,4.0,0.0,3.0,0.0,25.0,1.0,52.0,12.0,0.0,28.0,0.0,1.0,104.0,10029.0,396893.390625,0
27,1.0,1.0,10.0,8.0,16.0,11.0,2.0,18.0,0.0,11.0,14.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,20.0,7.0,0.0,7.0,0.0,0.0,25.0,10030.0,4776666.666666667,1
28,0.0,0.0,14.0,1.0,17.0,16.0,1.0,16.0,1.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,12.0,12.0,0.0,9.0,0.0,1.0,31.0,10031.0,1593428.5714285714,1
29,2.0,0.0,9.0,3.0,19.0,23.0,3.0,35.0,1.0,15.0,9.0,1.0,1.0,0.0,1.0,1.0,14.0,1.0,17.0,6.0,0.0,15.0,0.0,0.0,53.0,10032.0,2409600.0,1
30,3.0,1.0,5.0,0.0,23.0,22.0,1.0,7.0,2.0,7.0,15.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,18.0,9.0,0.0,14.0,0.0,0.0,40.0,10033.0,407486.5,1
31,3.0,2.0,10.0,7.0,17.0,15.0,1.0,21.0,0.0,4.0,13.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,23.0,10.0,0.0,27.0,1.0,0.0,47.0,10034.0,3799877.3125,1
32,0.0,1.0,20.0,11.0,14.0,22.0,1.0,90.0,4.0,7.0,35.0,1.0,1.0,0.0,9.0,0.0,32.0,2.0,33.0,19.0,0.0,27.0,0.0,3.0,52.0,10035.0,330937.75,0
33,0.0,0.0,2.0,0.0,82.0,7.0,3.0,19.0,2.0,23.0,9.0,0.0,1.0,0.0,1.0,0.0,24.0,0.0,9.0,10.0,0.0,66.0,14.0,0.0,25.0,10036.0,3377065.939163498,2
34,0.0,1.0,12.0,1.0,5.0,13.0,1.0,22.0,0.0,2.0,13.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,7.0,4.0,0.0,4.0,0.0,0.0,10.0,10037.0,1072250.0,3
35,1.0,1.0,4.0,1.0,21.0,16.0,1.0,26.0,1.0,14.0,27.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,12.0,3.0,0.0,31.0,6.0,0.0,25.0,10038.0,3161020.9929577466,2
36,1.0,1.0,2.0,0.0,11.0,10.0,0.0,11.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,3.0,0.0,18.0,0.0,0.0,34.0,10040.0,1410072.9069767443,3
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10041.0,116250.0,3
38,0.0,2.0,0.0,0.0,6.0,7.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,5.0,4.0,0.0,2.0,0.0,2.0,5.0,10044.0,11852892.6,3
39,0.0,1.0,4.0,0.0,11.0,17.0,1.0,36.0,4.0,17.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,11.0,8.0,0.0,65.0,0.0,0.0,8.0,10065.0,6826939.577777778,2
40,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,10069.0,413813.6666666667,3
41,0.0,1.0,0.0,0.0,7.0,10.0,0.0,5.0,1.0,8.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,8.0,2.0,0.0,36.0,0.0,0.0,3.0,10075.0,1189494.1931540342,3
42,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10101.0,216614.0,3
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10103.0,198216.0,3
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10106.0,2416471.0,3
45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10107.0,170282.55172413794,3
46,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10108.0,364022.0,3
47,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10111.0,689455.0,3
48,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10116.0,5344000.0,3
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,10118.0,638116.5,3
50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,10119.0,1997889.0,3
51,0.0,10.0,5.0,0.0,19.0,32.0,0.0,14.0,0.0,15.0,8.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,25.0,17.0,0.0,59.0,0.0,0.0,22.0,10128.0,1659966.7417218543,2
52,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10150.0,278970.3333333333,3
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10152.0,406379.0,3
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10154.0,29635597.0,3
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10155.0,3941843.75,3
56,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10156.0,13492000.0,3
57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10159.0,371671.0,3
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10162.0,252350.0,3
59,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10163.0,1035419.0,3
60,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10168.0,6372050.0,3
61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10169.0,586639.5,3
62,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10170.0,7410639.692307692,3
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10171.0,591110.0,3
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10172.0,357685.0833333333,3
65,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10271.0,908000.0,3
66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10274.0,460268.0,3
